timestamp,start_time,start_position_lat,start_position_long,end_position_lat,end_position_long,total_elapsed_time,total_timer_time,total_distance,total_strides,total_calories,enhanced_avg_speed,avg_speed,enhanced_max_speed,max_speed,total_ascent,total_descent,event,event_type,avg_heart_rate,max_heart_rate,avg_running_cadence,max_running_cadence,lap_trigger,sub_sport,avg_fractional_cadence,max_fractional_cadence,total_fractional_cycles,avg_vertical_oscillation,avg_temperature,max_temperature
2020-05-10 03:00:43-05:00,2020-05-10 08:00:00,13.710778579115868,100.60151796787977,13.710815878584981,100.60154780745506,43.405,43.405,89.33,58,5,7.408799999999999,7.408799999999999,8.935200000000002,8.935200000000002,0,0,lap,stop,126,140,83,87,manual,generic,0.6484375,0.0,None,None,34,34
2020-05-10 03:01:28-05:00,2020-05-10 08:00:43,13.710805401206017,100.60153104364872,13.71080070734024,100.60157043859363,44.86,44.86,94.51,62,6,7.585200000000001,7.585200000000001,8.028,8.028,0,0,lap,stop,141,145,83,86,manual,generic,0.0859375,0.0,None,None,34,34
2020-05-10 03:02:16-05:00,2020-05-10 08:01:28,13.710790732875466,100.60155484825373,13.710793582722545,100.60156440362334,47.484,47.484,99.84,64,6,7.570800000000001,7.570800000000001,7.524,7.524,0,0,lap,stop,139,142,82,86,manual,generic,0.125,0.0,None,None,34,34
2020-05-10 03:03:03-05:00,2020-05-10 08:02:16,13.710787547752261,100.60154587961733,13.710809759795666,100.60154428705573,47.013,47.013,92.2,62,6,7.0596000000000005,7.0596000000000005,7.9956000000000005,7.9956000000000005,0,0,lap,stop,138,144,80,83,manual,generic,0.421875,0.0,None,None,34,34
2020-05-10 03:03:50-05:00,2020-05-10 08:03:03,13.710803892463446,100.60153095982969,13.710797103121877,100.60154621489346,47.659,47.659,98.51,62,7,7.441200000000001,7.441200000000001,7.9596,7.9596,1,2,lap,stop,145,153,81,84,manual,generic,0.7734375,0.0,None,None,34,34
2020-05-10 03:04:38-05:00,2020-05-10 08:03:50,13.710788637399673,100.60153196565807,13.710823338478804,100.60148653574288,47.224,47.224,106.01,63,8,8.082,8.082,9.2052,9.2052,2,0,lap,stop,151,157,80,83,manual,generic,0.5390625,0.0,None,None,34,34
2020-05-10 03:05:27-05:00,2020-05-10 08:04:38,13.710814202204347,100.60147463344038,13.710841611027718,100.60146943666041,49.747,49.747,106.63,65,8,7.714799999999999,7.714799999999999,9.9108,9.9108,0,2,lap,stop,153,158,80,82,manual,generic,0.59375,0.0,None,None,34,34
2020-05-10 03:06:14-05:00,2020-05-10 08:05:27,13.710831133648753,100.60145493596792,13.710827697068453,100.60150832869112,46.829,46.829,112.46,63,8,8.647200000000002,8.647200000000002,9.7416,9.7416,1,0,lap,stop,154,157,81,85,manual,generic,0.796875,0.0,None,None,34,34
2020-05-10 03:07:03-05:00,2020-05-10 08:06:14,13.710817722603679,100.60149550437927,13.71080213226378,100.60148108750582,48.707,48.707,104.23,66,8,7.704000000000001,7.704000000000001,8.7012,8.7012,0,0,lap,stop,146,148,80,84,manual,generic,0.8359375,0.0,None,None,33,34
2020-05-10 03:08:32-05:00,2020-05-10 08:07:03,13.7107924092561,100.60146893374622,13.710753433406353,100.60154194012284,88.95,88.95,96.21,75,12,3.8952000000000004,3.8952000000000004,9.0036,9.0036,0,1,lap,stop,116,150,45,82,manual,generic,0.3984375,0.0,None,None,33,34
2020-05-10 03:10:23-05:00,2020-05-10 08:08:32,13.710747314617038,100.60154453851283,13.710738765075803,100.60150581412017,111.438,111.438,100.44,79,7,3.2436000000000003,3.2436000000000003,4.5360000000000005,4.5360000000000005,2,2,lap,stop,99,106,21,50,manual,generic,0.296875,0.5,None,None,34,34
2020-05-10 03:12:15-05:00,2020-05-10 08:10:23,13.710738765075803,100.60150438919663,13.710811687633395,100.60150371864438,111.45,111.45,95.62,78,7,3.0888,3.0888,3.762,3.762,3,2,lap,stop,103,110,31,54,manual,generic,0.9375,0.5,None,None,34,34
2020-05-10 03:13:48-05:00,2020-05-10 08:12:15,13.710805820301175,100.60150631703436,13.710790062323213,100.60151956044137,92.939,92.939,97.46,68,6,3.7763999999999998,3.7763999999999998,4.4352,4.4352,2,2,lap,stop,108,116,29,67,manual,generic,0.84375,0.0,None,None,34,34
2020-05-10 03:15:23-05:00,2020-05-10 08:13:48,13.710782518610358,100.60152065008879,13.710733316838741,100.60149910859764,94.76,94.76,87.65,78,6,3.33,3.33,3.5604,3.5604,0,0,lap,stop,102,106,30,52,manual,generic,0.328125,0.5,None,None,34,34
2020-05-10 03:17:05-05:00,2020-05-10 08:15:23,13.710728790611029,100.6014958396554,13.710802970454097,100.60146013274789,96.078,96.078,99.28,77,6,3.7188,3.7188,4.266,4.266,0,0,lap,stop,99,105,32,52,session_end,generic,0.2421875,0.0,None,None,34,34
