timestamp,start_time,start_position_lat,start_position_long,end_position_lat,end_position_long,total_elapsed_time,total_timer_time,total_distance,total_strides,total_calories,enhanced_avg_speed,avg_speed,enhanced_max_speed,max_speed,total_ascent,total_descent,event,event_type,avg_heart_rate,max_heart_rate,avg_running_cadence,max_running_cadence,lap_trigger,sub_sport,avg_fractional_cadence,max_fractional_cadence,total_fractional_cycles,avg_vertical_oscillation,avg_temperature,max_temperature
2020-03-27 04:00:03-05:00,2020-03-27 08:59:18,13.710777321830392,100.60154059901834,13.710781345143914,100.60152400285006,43.851,43.851,93.33,62,5,7.660800000000001,7.660800000000001,8.1972,8.1972,0,0,lap,stop,124,136,79,82,manual,generic,0.875,0.0,None,None,33,33
2020-03-27 04:00:45-05:00,2020-03-27 09:00:03,13.710766676813364,100.60151939280331,13.710652431473136,100.60156105086207,42.004,42.004,94.78,56,6,8.121599999999999,8.121599999999999,8.028,8.028,0,1,lap,stop,138,142,81,82,manual,generic,0.15625,0.0,None,None,34,34
2020-03-27 04:01:27-05:00,2020-03-27 09:00:45,13.710653185844421,100.60154831036925,13.710651760920882,100.60157136060297,42.367,42.367,89.73,56,6,7.6248,7.6248,7.9956000000000005,7.9956000000000005,0,0,lap,stop,141,143,81,82,manual,generic,0.2890625,0.0,None,None,34,34
2020-03-27 04:02:09-05:00,2020-03-27 09:01:27,13.71063994243741,100.60156524181366,13.7106594722718,100.60155719518661,42.198,42.198,95.81,56,7,8.172,8.172,9.0684,9.0684,0,0,lap,stop,143,147,80,83,manual,generic,0.8828125,0.0,None,None,34,34
2020-03-27 04:02:51-05:00,2020-03-27 09:02:09,13.71064430102706,100.6015508249402,13.71071764267981,100.60150816105306,41.971,41.971,92.87,55,7,7.9668,7.9668,8.4636,8.4636,1,1,lap,stop,143,146,81,82,manual,generic,0.0859375,0.0,None,None,34,34
2020-03-27 04:03:34-05:00,2020-03-27 09:02:51,13.710719235241413,100.60148913413286,13.710705321282148,100.60147790238261,42.916,42.916,91.65,56,7,7.6896,7.6896,8.330400000000001,8.330400000000001,0,0,lap,stop,146,152,81,84,manual,generic,0.0703125,0.0,None,None,34,34
2020-03-27 04:04:18-05:00,2020-03-27 09:03:34,13.71070146560669,100.60146801173687,13.710865750908852,100.6014281976968,43.432,43.432,90.95,57,8,7.538399999999999,7.538399999999999,9.1368,9.1368,1,0,lap,stop,146,150,81,82,manual,generic,0.4296875,0.0,None,None,34,34
2020-03-27 04:04:58-05:00,2020-03-27 09:04:18,13.710864074528217,100.60142383910716,13.711039256304502,100.60139710083604,40.682,40.682,88.38,52,7,7.8192,7.8192,8.632800000000001,8.632800000000001,0,0,lap,stop,145,147,80,82,manual,generic,0.875,0.0,None,None,34,34
2020-03-27 04:05:39-05:00,2020-03-27 09:04:58,13.711021738126874,100.60139534063637,13.710863571614027,100.60135837644339,41.202,41.202,77.78,53,6,6.7968,6.7968,8.0604,8.0604,0,0,lap,stop,145,149,81,82,manual,generic,0.5,0.5,None,None,34,34
2020-03-27 04:06:19-05:00,2020-03-27 09:05:39,13.710850831121206,100.60135686770082,13.710804479196668,100.60146667063236,39.358,39.358,77.41,53,6,7.081200000000001,7.081200000000001,7.524,7.524,0,0,lap,stop,144,148,81,82,manual,generic,0.7734375,0.0,None,None,34,34
