timestamp,start_time,start_position_lat,start_position_long,end_position_lat,end_position_long,total_elapsed_time,total_timer_time,total_distance,total_strides,total_calories,enhanced_avg_speed,avg_speed,enhanced_max_speed,max_speed,total_ascent,total_descent,event,event_type,avg_heart_rate,max_heart_rate,avg_running_cadence,max_running_cadence,lap_trigger,sub_sport,avg_fractional_cadence,max_fractional_cadence,total_fractional_cycles,avg_vertical_oscillation,avg_temperature,max_temperature
2020-04-21 04:52:04-05:00,2020-04-21 09:51:23,13.710932806134224,100.60134815052152,13.710732646286488,100.60151042416692,40.897,40.897,88.93,51,5,7.8264,7.8264,9.5076,9.5076,0,0,lap,stop,114,129,68,83,manual,generic,0.5390625,0.0,None,None,33,33
2020-04-21 04:52:45-05:00,2020-04-21 09:52:04,13.710716888308525,100.60149483382702,13.710759216919541,100.60149885714054,40.994,40.994,98.08,55,6,8.614799999999999,8.614799999999999,9.2052,9.2052,0,0,lap,stop,122,124,81,83,manual,generic,0.7578125,0.0,None,None,33,33
2020-04-21 04:53:25-05:00,2020-04-21 09:52:45,13.710742620751262,100.60148402117193,13.710744380950928,100.60153942555189,40.828,40.828,92.28,52,6,8.136,8.136,8.532,8.532,0,0,lap,stop,124,128,81,85,manual,generic,0.7890625,0.0,None,None,33,33
2020-04-21 04:54:06-05:00,2020-04-21 09:53:25,13.710732646286488,100.60153012163937,13.710701633244753,100.60147404670715,40.705,40.705,102.26,54,6,9.0432,9.0432,9.1692,9.1692,1,1,lap,stop,127,130,81,84,manual,generic,0.9609375,0.0,None,None,34,34
2020-04-21 04:54:45-05:00,2020-04-21 09:54:06,13.710686126723886,100.60145703144372,13.710752511397004,100.60152073390782,39.186,39.186,107.62,52,6,9.8856,9.8856,10.245600000000001,10.245600000000001,0,0,lap,stop,129,132,82,84,manual,generic,0.6796875,0.0,None,None,34,34
2020-04-21 04:55:23-05:00,2020-04-21 09:54:45,13.710738345980644,100.60150212608278,13.710777489468455,100.60150841251016,37.571,37.571,101.06,51,6,9.684,9.684,10.278,10.278,0,1,lap,stop,129,131,82,85,manual,generic,0.4765625,0.0,None,None,34,34
2020-04-21 04:55:59-05:00,2020-04-21 09:55:23,13.710765251889825,100.60149709694088,13.710722671821713,100.6015162076801,35.631,35.631,90.59,50,6,9.1512,9.1512,10.2132,10.2132,1,0,lap,stop,131,135,83,85,manual,generic,0.265625,0.0,None,None,34,34
2020-04-21 04:56:35-05:00,2020-04-21 09:55:59,13.710701717063785,100.60150715522468,13.710793750360608,100.60147270560265,36.557,36.557,103.31,49,6,10.1736,10.1736,9.774,9.774,0,1,lap,stop,131,134,82,84,manual,generic,0.75,0.0,None,None,33,33
2020-04-21 04:57:12-05:00,2020-04-21 09:56:35,13.710779501125216,100.60145451687276,13.710784446448088,100.6014696881175,36.777,36.777,98.91,48,6,9.6804,9.6804,10.278,10.278,0,0,lap,stop,134,137,82,84,manual,generic,0.6484375,0.0,None,None,33,33
2020-04-21 04:57:49-05:00,2020-04-21 09:57:12,13.710777824744582,100.6014493200928,13.710707668215036,100.60151427984238,37.182,37.182,102.31,51,6,9.9072,9.9072,10.548,10.548,0,0,lap,stop,137,141,83,85,manual,generic,0.890625,0.0,None,None,33,33
2020-04-21 04:58:26-05:00,2020-04-21 09:57:49,13.71068294160068,100.60149944387376,13.710728287696838,100.60155761428177,37.304,37.304,104.11,50,6,10.0476,10.0476,10.6812,10.6812,0,0,lap,stop,136,138,83,85,manual,generic,0.6328125,0.0,None,None,33,33
2020-04-21 04:59:05-05:00,2020-04-21 09:58:26,13.710713535547256,100.6015442032367,13.710734993219376,100.60151696205139,38.354,38.354,99.77,51,6,9.3636,9.3636,10.782,10.782,0,0,lap,stop,138,141,82,84,manual,generic,0.4375,0.0,None,None,33,33
